title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
Assault Suit Leynos,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Target_Earth.jpg/220px-Target_Earth.jpg,PS4,na,na,na,na,na
The Assembly,unreleased,PS4\,XboxOne,na,na,na,na
Assetto Corsa,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Assetto_Corsa_cover.png/220px-Assetto_Corsa_cover.png,PS4\,XboxOne,na,na,na,na
Atari Flashback Classics: Volume 1,unreleased,PS4\,XboxOne,na,na,na,na
Atari Flashback Classics: Volume 2,unreleased,PS4\,XboxOne,na,na,na,na
Atari Flashback Classics: Volume 3,unreleased,PS4\,XboxOne,na,na,na,na
Atelier Firis: The Alchemist and the Mysterious Journey,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/AtelierFiris.jpg/220px-AtelierFiris.jpg,PS4,na,na,na,na,na
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/AtelierLydie%26SuelleMysteriousPaintingBoxArt.jpg/220px-AtelierLydie%26SuelleMysteriousPaintingBoxArt.jpg,PS4,na,na,na,na,na
Atelier Sophie: The Alchemist of the Mysterious Book,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Atelier_Sophie_boxart.png/220px-Atelier_Sophie_boxart.png,PS4,na,na,na,na,na
Attack on Titan,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Attack_on_Titan_%28video_game%29_Japanese_PS4_cover_art.jpg/220px-Attack_on_Titan_%28video_game%29_Japanese_PS4_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Attack on Titan 2,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Attack_on_Titan_2_cover_art.jpg/220px-Attack_on_Titan_2_cover_art.jpg,PS4\,Switch\,XboxOne,na,na,na
Attractio,https://upload.wikimedia.org/wikipedia/en/7/76/Attractio.jpg,PS4,na,na,na,na,na
ATV Drift & Tricks,unreleased,PS4,na,na,na,na,na
Aven Colony,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Aven_Colony_Promo.jpg/220px-Aven_Colony_Promo.jpg,PS4\,XboxOne,na,na,na,na
Away: Journey to the Unexpected,unreleased,PS4\,Switch\,XboxOne,na,na,na
A Way Out,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/A_Way_Out_Logo.jpg/220px-A_Way_Out_Logo.jpg,PS4\,XboxOne,na,na,na,na
